"","Table 2AUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"124","46","  Chemical & allied product","PS5163",79.483,79.584,80.382,80.538,80.584,80.93,81.039,81.294,81.627,81.884,81.326,81.486,81.258,81.558,81.467,81.259,81.443,81.247,80.329,79.893,79.213,79.067,78.827,78.617,78.295,76.841,75.77,75.083,74.837,73.933,73.907,72.98,72.283,72.029,72.112,71.764,72.393,73.884,74.058,74.106,74.247,73.688,75.387,78.923,77.338,78.947,78.159,79.462,79.787,80.416,81.134,81.593,82.217,82.912,83.795,84.494,85.446,85.776,86.094,86.662,86.831,87.349,88.173,88.29,88.547,88.502,88.323,88.236,88.149,88.204,88.132,88.182,88.609,88.624,88.731,89,88.986,88.718,88.648,88.782,90.671,90.75,91.286,91.303,91.983,91.949,91.605,91.792,91.691,91.711,91.311,91.3,91.349,91.267,91.284,91.577,91.349,91.137,91.2,91.382,91.662,91.757,91.881,91.498,91.365,91.219,91.539,91.475,91.896,92.151,92.026,92.011,92.157,92.262,92.275,91.91,92.24,92.247,92.156,92.42,92.461,92.732,92.663,92.8,93.087,93.759,94.383,95.487,96.63,97.591,98.281,99.006,98.792,99.757,99.995,100.682,100.829,100.906,100.949,100.739,100.559,100.22,100.221,100.241,100.185,100.03,100.266,100.071,100.3,99.945,99.78,99.463,100.413,100.218,99.694,99.635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","47","  Petroleum products","PS5173",118.968,120.957,122.806,120.144,120.64,120.395,119.337,116.982,115.593,116.702,116.879,115.712,113.201,110.266,111.632,113.33,115.293,111.949,110.197,109.081,110.84,111.682,114.112,116.372,109.591,93.045,77.354,69.713,69.858,69.232,60.018,60.259,66.155,63.694,63.552,65.519,72.95,76.518,75.691,77.413,78.47,80.405,82.416,85.2,82.401,82.591,83.447,81.008,77.924,75.829,74.164,74.957,76.522,74.837,72.82,72.448,70.46,68.067,70.537,73.111,77.778,78.494,81.831,88.306,89.554,86.633,84.507,78.914,82.689,85.45,84.018,87.441,102.575,93.826,91.658,87.557,85.378,81.202,81.778,101.677,119.47,137.061,132.108,123.13,117.381,101.554,89.527,87.628,88.27,85.978,85.232,89.055,90.655,92.359,93.8,90.341,84.233,85.717,84.385,86.507,89.712,94.493,93.241,92.583,94.186,94.923,92.344,88.371,88.417,89.873,91.686,90.845,89.871,87.01,84.258,82.192,82.527,86.107,81.691,74.394,74.759,78.848,78.297,78.192,79.607,82.095,87.262,90.909,86.634,85.07,87.843,85.587,87.234,87.581,88.358,91.26,93.088,91.476,87.357,86.825,86.877,84.389,82.855,87.243,91.759,89.443,95,103.006,101.666,96.362,96.991,98.389,102.101,107.528,107.221,110.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","48","  Alcoholic beverages","PS5183",79.253,79.399,79.174,79.738,79.897,79.775,79.964,79.854,79.893,80.025,79.806,79.669,79.782,79.698,79.606,79.521,80.153,80.142,80.638,80.549,81.031,81.566,81.634,81.87,81.983,81.967,82.117,82.329,82.614,82.189,82.41,82.745,82.605,82.834,82.356,82.411,82.391,83.258,83.081,83.69,83.473,83.461,83.292,83.556,83.276,83.505,83.856,84.153,84.195,84.107,84.092,84.007,83.918,84.113,84.354,85.387,85.18,85.651,85.502,85.432,85.425,85.374,86.416,86.734,87.462,87.869,88.078,88.647,87.561,87.674,88.005,87.79,88.589,88.359,88.963,88.985,89.171,89.202,89.429,89.078,89.69,89.79,89.871,89.734,93.622,93.008,92.779,93.15,92.939,92.984,93.383,93.52,93.695,93.762,93.884,93.749,94.712,94.481,94.62,94.751,95.17,95.494,95.754,95.893,95.807,95.796,95.595,95.62,95.049,95.037,95.171,94.949,95.256,95.008,95.03,95.131,95.158,95.554,95.145,95.188,94.92,94.711,94.147,93.344,93.424,93.856,93.964,93.43,94.31,94.281,94.541,94.42,94.245,94.421,95.362,96.145,95.975,96.429,96.624,96.81,97.169,97.17,97.293,97.583,97.802,98.094,98.135,98.724,99.086,99.462,99.726,99.987,100.342,103.101,102.26,103.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","49","  Other nondurable goods","PS5193",72.722,72.712,73.341,73.248,73.26,73.293,72.798,72.695,72.655,72.599,72.41,72.267,72.235,72.133,72.052,72.08,71.886,71.716,72.172,72.156,72.31,72.515,73.006,73.219,73.771,71.698,69.521,68.457,68.472,68.768,68.245,68.049,69.068,68.71,68.774,68.904,70.494,70.782,70.609,71.151,71.779,72.321,73.267,73.595,73.252,73.793,73.921,74.426,74.803,75.007,75.156,75.521,75.749,77.306,78.729,78.771,79.149,79.291,79.253,80.108,80.989,81.153,81.501,81.47,81.64,82.202,82.645,82.603,82.866,82.872,83.032,83.881,84.167,84.148,84.001,84.332,85.048,85.696,85.82,85.983,86.209,86.674,87.158,87.586,87.809,87.706,88.563,88.808,88.898,89.512,89.987,90.641,90.632,90.874,91.325,91.617,92.135,92.304,92.664,93.533,94.213,94.672,94.467,92.796,93.551,93.332,93.365,94.685,95.22,95.331,95.417,96.41,96.121,95.083,95.674,90.218,90.217,90.636,91.202,92.393,92.207,92.69,92.498,92.638,92.737,93.01,92.82,92.707,93.065,93.163,93.603,93.651,93.805,94.609,95.048,95.436,95.847,96.025,96.484,96.798,97.478,97.678,98.246,98.521,98.764,99.137,99.509,100.13,101.197,100.62,100.895,101.199,100.77,99.424,98.962,99.393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","50","Retail trade","PS5R3",76.381,76.559,76.735,76.924,76.945,77.043,77.164,77.352,77.56,77.735,77.834,77.911,78.118,78.506,78.788,78.936,78.883,78.975,79.051,79.088,79.17,79.407,79.687,80.007,80.211,79.782,78.836,78.241,78.47,78.734,78.645,78.765,78.99,78.953,79.103,79.406,80.123,80.587,80.809,81.079,81.252,81.62,81.839,82.166,82.423,82.579,82.76,82.782,82.933,82.892,83.148,83.547,83.701,83.925,84.351,84.446,84.791,84.979,85.101,85.303,85.728,85.974,86.241,87.104,87.436,87.513,87.593,87.297,87.411,87.792,87.921,88.026,88.976,89.408,89.568,89.681,89.711,89.916,90.164,90.8,91.555,92.265,92.244,92.41,92.6,92.461,92.242,92.502,92.846,92.895,93.023,93.087,93.248,93.275,93.554,93.627,93.617,93.823,94.06,94.2,94.402,94.58,94.778,94.871,95.022,95.189,95.371,95.496,95.605,95.91,96.056,96.291,96.261,96.098,96.158,96.308,96.28,96.776,96.971,96.921,96.881,96.853,97.017,97.008,97.108,97.452,97.791,98.052,98.148,98.154,98.382,98.453,98.615,98.674,98.785,98.986,98.992,98.911,98.954,99.021,99.025,99.12,98.952,99.095,99.451,99.534,99.862,100.054,100.089,99.884,99.92,99.834,100.104,100.275,100.432,100.518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","51","Retail less motor vehicle","PS5RX3",78.047,78.242,78.372,78.497,78.468,78.539,78.63,78.808,79.034,79.207,79.307,79.392,79.588,79.961,80.243,80.443,80.407,80.525,80.623,80.633,80.679,80.949,81.26,81.601,81.816,81.265,80.066,79.309,79.527,79.791,79.659,79.804,80.06,79.97,80.069,80.44,81.279,81.907,82.094,82.291,82.375,82.739,82.931,83.315,83.582,83.728,83.892,83.937,84.196,84.1,84.403,84.857,84.989,85.21,85.689,85.732,86.073,86.274,86.423,86.625,87.061,87.276,87.57,88.66,89.092,89.22,89.349,89.03,89.201,89.62,89.673,89.709,90.866,91.419,91.649,91.815,91.864,92.15,92.444,93.204,94.131,94.993,94.967,95.054,95.176,94.93,94.614,94.892,95.278,95.289,95.356,95.455,95.652,95.653,95.953,95.996,95.997,96.258,96.483,96.517,96.652,96.796,96.975,96.988,97.076,97.203,97.345,97.49,97.582,97.923,98,98.165,98.009,97.685,97.642,97.704,97.584,98.101,98.246,98.205,98.152,98.148,98.266,98.214,98.2,98.474,98.766,98.981,98.976,98.823,98.98,98.939,98.957,98.902,98.858,99.078,99.059,98.941,99.046,99.127,99.11,99.167,98.91,99.036,99.39,99.417,99.745,100.087,100.151,99.895,99.927,99.791,100.062,100.302,100.52,100.656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","52"," Durable goods","PS5RD3",76.879,76.763,76.938,77.328,77.412,77.621,77.767,77.896,78.157,78.187,78.372,78.512,78.727,79.145,79.297,79.298,79.133,79.024,79.077,79.222,79.271,79.402,79.61,79.803,80.096,80.001,79.604,79.503,79.704,79.857,79.94,80.284,80.307,80.488,80.686,80.965,81.225,81.298,81.62,81.976,82.248,82.604,82.888,83.106,83.478,83.597,83.81,83.807,83.815,83.919,84.16,84.374,84.554,84.739,84.981,85.093,85.377,85.543,85.663,85.811,86.261,86.513,86.479,86.673,86.79,86.9,86.981,86.876,86.922,87.234,87.466,87.511,87.769,88.005,88.055,88.132,88.12,87.954,88.124,88.154,88.269,88.404,88.342,88.453,88.913,89.219,89.283,89.51,89.849,89.947,90.424,90.177,90.243,90.344,90.516,90.493,90.746,91.105,91.439,91.81,92.064,92.064,92.238,92.373,92.638,92.853,93.178,93.277,93.622,94.008,94.546,95.107,95.214,95.158,95.353,95.615,95.928,96.3,96.614,96.619,96.833,96.733,97.041,96.945,97.259,97.675,97.94,98.125,98.352,98.535,98.904,99.043,99.519,99.73,100.081,100.192,100.138,99.948,99.899,99.942,99.977,99.97,99.844,99.963,100.131,100.157,100.299,99.984,99.976,99.913,99.832,99.898,100.151,99.992,99.945,99.743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","53","  Automotives","PS553",71.733,71.834,72.15,72.608,72.752,72.971,73.177,73.383,73.518,73.663,73.788,73.857,74.096,74.526,74.753,74.757,74.599,74.641,74.598,74.739,74.957,75.048,75.169,75.423,75.628,75.6,75.633,75.591,75.848,76.062,76.143,76.187,76.269,76.374,76.705,76.781,77.102,76.94,77.294,77.776,78.282,78.654,78.934,79.09,79.33,79.53,79.723,79.667,79.491,79.635,79.709,79.892,80.142,80.36,80.558,80.866,81.222,81.328,81.361,81.585,81.978,82.331,82.424,82.497,82.52,82.441,82.325,82.157,82.07,82.292,82.692,83.04,83.184,83.196,83.087,83.022,82.985,82.903,82.966,83.155,83.252,83.386,83.422,83.877,84.291,84.536,84.652,84.825,85.024,85.186,85.583,85.517,85.531,85.661,85.864,86.058,86.022,86,86.302,86.782,87.211,87.496,87.754,88.145,88.513,88.773,89.097,89.145,89.317,89.438,89.807,90.264,90.677,91.027,91.449,91.873,92.181,92.545,92.888,92.833,92.853,92.759,93.064,93.21,93.667,94.222,94.687,95.096,95.502,95.994,96.496,96.921,97.531,97.992,98.606,98.741,98.847,98.879,98.719,98.741,98.798,99.021,99.148,99.343,99.696,99.932,100.245,99.954,99.891,99.869,99.879,99.967,100.216,100.17,100.117,100.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","54","   Motor vehicle dealers","PS55X3",70.429,70.546,70.889,71.343,71.522,71.743,71.983,72.214,72.352,72.541,72.635,72.677,72.931,73.366,73.646,73.623,73.495,73.5,73.472,73.594,73.807,73.922,74.08,74.322,74.495,74.482,74.516,74.498,74.759,75.013,75.087,75.124,75.23,75.367,75.705,75.77,76.059,75.89,76.254,76.809,77.309,77.697,78.016,78.147,78.356,78.551,78.772,78.717,78.49,78.646,78.723,78.929,79.154,79.398,79.64,79.923,80.277,80.416,80.449,80.641,81.022,81.392,81.55,81.59,81.576,81.466,81.368,81.162,81.068,81.303,81.718,82.08,82.246,82.244,82.137,82.069,82.027,81.929,81.999,82.169,82.265,82.422,82.391,82.871,83.307,83.577,83.745,83.934,84.121,84.313,84.683,84.598,84.625,84.76,84.95,85.141,85.104,85.097,85.395,85.93,86.377,86.696,86.977,87.382,87.763,88.069,88.41,88.464,88.622,88.774,89.189,89.667,90.124,90.533,90.983,91.447,91.764,92.167,92.542,92.45,92.469,92.364,92.687,92.84,93.321,93.909,94.413,94.85,95.294,95.84,96.335,96.773,97.426,97.898,98.547,98.693,98.781,98.826,98.661,98.672,98.739,98.969,99.101,99.305,99.668,99.923,100.258,99.946,99.88,99.846,99.89,99.98,100.238,100.183,100.125,100.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","55","   Auto & home supply stores","PS5533",90.561,90.427,90.388,90.917,90.588,90.787,90.51,90.446,90.493,90.045,90.655,91.055,91.105,91.479,90.974,91.353,90.783,91.328,91.113,91.506,91.787,91.54,91.171,91.609,92.212,91.95,91.954,91.639,91.789,91.474,91.617,91.761,91.451,91.059,91.345,91.602,92.409,92.244,92.527,91.977,92.605,92.767,92.479,92.969,93.669,93.955,93.745,93.691,94.198,94.176,94.184,94.092,94.735,94.556,94.143,94.791,95.172,94.833,94.845,95.554,96.093,96.241,95.385,95.936,96.456,96.818,96.437,96.859,96.848,96.892,97.093,97.262,97.111,97.318,97.164,97.157,97.171,97.27,97.23,97.686,97.784,97.605,98.54,98.693,98.808,98.728,98.128,98.117,98.481,98.253,99.021,99.229,99.007,99.096,99.488,99.763,99.766,99.502,99.846,99.61,99.769,99.577,99.503,99.694,99.849,99.484,99.552,99.516,99.848,99.558,99.211,99.364,99.114,98.608,98.651,98.414,98.612,98.34,98.232,98.746,98.8,98.862,98.87,98.961,99.048,99.062,98.957,98.934,98.704,98.428,99.027,99.223,99.162,99.452,99.56,99.493,99.864,99.693,99.627,99.798,99.735,99.834,99.87,99.935,100.131,100.065,100.032,100.065,100.064,100.227,99.709,99.774,99.871,99.968,99.968,100.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","56","  Lumber & building stores","PS523",68.214,67.5,67.277,67.311,67.29,67.663,67.93,67.743,68.278,68.022,68.534,69.213,69.719,69.991,69.953,69.928,69.728,69.088,69.535,69.597,69.668,69.518,70.224,70.609,71.249,71.143,69.107,68.779,68.643,68.411,68.484,70.066,69.793,70.411,70.518,71.41,71.218,71.753,72.13,72.176,72.306,72.822,73.153,73.631,74.782,74.551,74.812,75.132,75.511,75.667,75.912,76.191,76.197,76.304,76.849,76.439,76.403,76.421,76.829,76.963,77.557,78.186,78.175,78.877,79.304,79.74,80.306,80.366,80.48,81.17,80.994,80.591,80.829,81.469,81.741,82.296,82.348,82.044,82.313,81.918,81.982,81.561,81.617,81.608,81.877,81.857,82.066,82.613,83.785,84.656,85.296,84.193,84.109,84.098,84.346,84.417,85.685,87.332,88.391,88.996,88.942,88.442,88.194,88.175,88.818,88.805,89.178,90.562,92.091,94.609,97.013,98.182,97.77,96.296,95.858,95.637,96.198,97.009,97.979,98.626,99.791,99.221,99.963,98.868,98.435,98.969,98.589,98.542,98.88,98.965,99.541,99.51,99.823,99.639,100.051,100.141,100.123,99.614,99.668,99.836,100.138,99.747,99.165,98.92,98.736,98.726,98.821,98.589,99.776,99.992,99.659,100.464,101.35,100.655,101.399,101.609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","57","  Furniture & furnishings","PS573",112.209,111.616,111.457,111.761,112.034,111.967,111.486,111.82,112.355,112.182,112.108,112.125,111.977,112.527,112.385,112.231,112.106,111.478,111.481,111.809,110.853,111.658,111.662,111.274,111.456,110.947,110.954,110.449,110.762,111.003,111.16,111.022,111.185,111.197,110.786,111.518,111.954,112.118,112.116,112.432,111.897,111.923,111.834,111.969,112.204,112.189,112.234,112.119,111.852,111.83,113.079,113.046,112.975,113.069,112.864,112.991,113.373,113.703,113.643,113.28,113.785,113.303,112.627,112.696,112.646,113.184,113.339,113.097,113.356,113.695,113.509,112.724,113.234,113.611,113.483,113.549,113.426,112.811,113.306,112.816,112.995,113.434,112.854,112.545,112.672,113.444,113.181,112.719,113.133,112.565,112.461,112.105,112.13,111.704,111.655,111.14,111.698,112.003,112.038,112.279,111.655,111.007,111.282,110.89,110.401,110.812,110.833,109.781,109.574,109.618,109.508,109.713,109.303,109.128,109.163,109.053,108.981,109.17,109.1,108.936,109.302,109.239,108.788,108.915,109.433,109.627,109.582,109.19,108.795,108.126,107.503,107.167,107.243,107.334,106.864,106.994,106.53,105.223,105.253,105.003,104.585,104.028,102.986,102.957,102.717,102.2,101.751,101.191,100.166,100.033,99.699,99.636,99.18,98.82,97.992,97.139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","58","  Other durable goods","PS59X3",80.136,80.095,80.323,80.9,80.615,80.75,80.903,80.875,81.159,81.166,81.404,81.224,81.159,81.563,81.815,81.985,81.793,82.057,82.07,82.194,82.095,82.268,82.363,82.471,82.792,82.701,82.101,82.336,82.618,82.888,82.95,83.526,83.485,83.586,83.74,83.854,84.251,84.731,85.084,85.23,85.151,85.434,85.957,86.186,86.295,86.554,86.922,86.868,87.539,87.49,87.75,88.207,88.454,88.651,89.086,88.893,89.138,89.648,89.971,90.157,90.597,90.483,90.351,90.6,90.913,91.162,91.575,91.69,92.134,92.349,92.613,92.468,93.053,93.718,94.351,94.554,94.691,94.691,94.953,95.162,95.379,95.899,95.682,94.716,95.855,96.399,96.351,97.023,96.967,96.468,97.596,97.628,98.141,98.676,98.823,98.136,98.285,98.917,98.818,98.523,99.083,98.941,99.123,98.747,98.765,98.849,99.371,99.275,99.565,99.09,98.959,99.696,99.404,99.119,99.081,99.452,99.865,99.958,99.769,99.506,99.507,99.877,100.458,100.07,100.352,100.204,100.522,100.483,100.374,100.065,100.544,100,100.4,100.009,99.916,99.945,99.533,99.758,100,100.311,100.404,100.317,100.459,100.783,100.921,100.57,100.601,100.352,100.353,99.916,99.958,99.283,99.618,99.736,99.691,99.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","59"," Nondurable goods","PS5RN3",76.083,76.419,76.594,76.675,76.664,76.7,76.807,77.028,77.208,77.462,77.511,77.554,77.759,78.129,78.483,78.712,78.722,78.927,79.014,78.989,79.089,79.387,79.703,80.092,80.247,79.626,78.375,77.499,77.739,78.062,77.875,77.865,78.214,78.039,78.163,78.483,79.476,80.159,80.327,80.545,80.661,81.038,81.218,81.612,81.798,81.977,82.139,82.172,82.409,82.28,82.543,83.055,83.194,83.44,83.978,84.062,84.445,84.645,84.768,85.003,85.416,85.659,86.105,87.369,87.832,87.89,87.967,87.555,87.711,88.135,88.202,88.34,89.702,90.253,90.478,90.613,90.668,91.091,91.384,92.377,93.504,94.556,94.554,94.749,94.778,94.388,94.003,94.285,94.632,94.651,94.585,94.821,95.037,95.021,95.362,95.491,95.331,95.45,95.631,95.637,95.81,96.09,96.302,96.371,96.454,96.593,96.691,96.829,96.795,97.051,96.965,97.003,96.889,96.66,96.64,96.721,96.486,97.053,97.173,97.09,96.888,96.907,96.981,97.027,96.988,97.287,97.673,97.984,97.995,97.885,98.02,98.048,98.005,97.965,97.921,98.182,98.225,98.215,98.32,98.4,98.384,98.548,98.352,98.508,98.99,99.108,99.563,100.102,100.167,99.864,99.981,99.791,100.073,100.469,100.766,101.051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","60","  Food stores","PS543",70.007,70.493,70.69,70.649,70.444,70.811,71.042,71.489,71.429,71.553,71.606,71.687,71.941,72.265,72.531,72.47,72.32,72.436,72.532,72.571,72.617,72.77,73.176,73.746,73.95,73.691,73.649,73.643,73.913,73.995,74.492,75.047,75.124,75.231,75.474,75.611,76.159,76.466,76.535,76.65,77.005,77.359,77.287,77.431,77.601,77.709,77.678,77.986,78.278,78.257,78.38,78.775,78.968,79.299,80.064,80.385,80.824,80.969,81.113,81.41,81.854,82.366,82.786,83.501,84.042,84.312,84.678,84.762,84.801,85.117,85.334,85.685,86.681,87.292,87.407,87.262,87.456,88.143,88.614,89.028,89.424,89.847,89.941,89.998,90.901,91.291,91.292,91.756,91.919,92.211,91.89,91.768,91.802,91.749,91.936,92.07,92.056,92.37,92.588,92.583,92.513,92.819,92.893,93.299,93.479,93.444,93.368,93.477,93.577,93.796,93.761,93.883,94.348,94.148,94.105,94.001,93.808,94.301,94.514,94.648,94.621,94.477,94.472,94.592,94.722,95.087,95.499,95.727,95.792,95.713,95.797,96.178,96.131,96.472,96.409,96.985,97.005,97.12,97.254,97.446,97.632,97.861,97.954,98.056,98.357,98.66,99.037,99.47,99.555,99.885,100.233,100.46,100.672,101.09,101.287,101.322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","61","  Apparel stores","PS563",89.815,89.467,89.449,89.428,89.621,89.045,89.683,90.096,90.651,91.236,91.137,91.102,91.228,91.989,92.364,92.456,92.536,93.033,92.914,92.594,92.833,93.157,93.462,93.5,93.124,92.326,91.739,91.759,91.576,91.339,92.11,92.848,93.182,92.786,93.103,93.617,94.223,94.67,94.99,95.413,95.84,95.736,95.62,96.138,96.295,96.863,97.528,97.149,97.713,96.366,97.381,98.771,98.796,99.232,99.472,97.975,99.408,100.229,100.23,100.725,100.886,99.541,100.129,100.621,100.76,100.507,100.173,98.766,99.903,100.851,100.941,100.53,100.538,102.225,103.444,103.757,103.47,103.718,103.734,103.769,104.202,103.963,103.676,104.441,104.629,104.463,104.3,104.544,104.976,105.01,105.238,105.893,106.324,106.138,106.74,106.858,106.731,105.969,106.154,105.676,106.296,106.325,106.503,106.275,106.201,106.465,106.496,106.744,106.093,106.893,106.51,106.383,105.784,105.371,105.428,106.399,105.705,105.29,106.03,105.865,105.101,104.232,104.543,104.69,105.036,105.423,104.96,104.003,104.037,103.464,103.262,102.832,102.664,101.741,101.817,102.013,101.746,101.091,101.321,101.249,101.274,101.46,101.123,100.947,101.06,100.726,101.112,100.67,100.656,100,99.696,98.305,99.227,99.202,99.64,99.894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
