"","Table 2#3#5U# Personal Consumption Expenditures by Major Type of","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"21","12","E1TON1 B   Other","E1TON10",24477,24304,27915,26233,25796,25296,25654,26499,27101,26841,26646,26606,26966,27000,27281,27825,27310,27575,27864,27908,27886,28470,28210,28021,28160,28478,28835,28898,29024,28852,29221,29168,29440,29643,30114,30459,30711,30637,31008,31158,31197,31011,31142,31376,32080,31891,32139,32138,32471,32492,32725,32791,32607,33410,33460,33846,33411,33629,33335,33503,33823,34462,34392,34048,35137,34883,35542,35786,35598,35548,35360,35601,36227,36590,36507,37183,37594,36954,37515,37411,37958,39128,39106,38859,39648,40105,40604,41577,40829,41358,41837,41655,42067,42222,42323,42011,42416,42948,42989,43465,43104,43422,43298,44240,44205,43492,43888,44629,45270,45502,45997,46068,46664,47248,47592,47931,47579,47902,48501,48202,48480,48875,49010,49607,49841,49684,50343,51021,51003,51153,51409,51506,52642,52431,52822,52947,53621,53552,54016,54560,55034,55626,55612,56037,55887,56146,55655,55709,55594,55888,56350,56698,56865,56886,57231,57867,58101,58396,59390,60128,60359,60695,61417,61217,61830,62467,62792,62772,63796,64488,64757,65095,65425,66599,67020,66804,68002,68062,68966,69682,70604,71180,71403,71917,72228,72510,72325,73994,73793,74014,74995,73773,75212,75685,76245,75194,78468,78623,79178,79530,79966,79965,82217,82245
"22","13","E1TSS1 A Services","E1TSS10",121550,122453,123339,124214,125091,126044,126916,127831,128790,129758,130720,131401,132111,132817,133605,134404,135210,135474,135660,135909,136653,137583,138457,138973,139394,139847,140942,142217,143435,143819,143899,144082,145159,146404,147651,148448,149032,149626,150648,151840,153007,153665,154084,154596,155451,156408,157294,157838,158146,158545,159149,159842,160603,161925,163328,164718,165725,166675,167700,168683,170007,171056,172195,173282,174427,175513,176671,177827,178966,180183,181277,182108,182794,183540,184612,185829,187026,188213,189250,190335,191836,193397,194950,195969,196742,197631,198980,200491,202013,203202,204196,205231,206824,208575,210335,211740,212820,213873,215112,216489,217814,219464,221133,222853,224054,225109,226283,228079,230747,231473,234226,236435,238274,241777,242869,244456,246582,248535,250715,252986,254559,256888,258303,260154,263504,264954,266505,268806,271410,274163,276293,277985,280371,283485,283170,285315,287262,289781,292009,294435,297625,299105,300937,304432,305311,308404,310416,313061,315619,317797,320386,323069,325738,328361,330272,335333,337523,339828,343955,346202,346483,349332,352752,355828,357730,362094,365881,368914,369545,372163,375212,378205,381641,385852,387235,389550,394468,396133,399010,400395,403369,406317,410887,415523,420910,425297,428103,432235,437166,442750,444520,451975,455486,461604,465013,469532,473770,477796,482735,485151,488734,495956,499421,507106
"23","14","E1HOS1 B   Housing","E1HOS10",43381,43673,43959,44257,44538,44852,45160,45470,45801,46137,46469,46684,46892,47094,47269,47443,47624,47898,48168,48446,48778,49112,49440,49648,49826,50014,50241,50486,50730,50992,51230,51479,51806,52147,52483,52720,52929,53148,53478,53839,54196,54544,54874,55209,55592,55999,56398,56578,56734,56883,57033,57195,57364,57660,57964,58268,58614,58964,59307,59527,59732,59942,60215,60520,60812,61146,61462,61785,62153,62537,62902,63186,63440,63697,64062,64455,64843,65243,65619,66001,66377,66771,67157,67447,67736,68015,68261,68504,68752,69117,69501,69881,70315,70744,71170,71518,71861,72194,72521,72846,73181,73669,74182,74688,75179,75650,76123,76581,77401,77544,78010,78379,78845,79307,79830,80338,80936,81647,82319,82830,83327,84009,84551,85257,85903,86539,87235,87898,88626,89269,89960,90613,91025,91475,91881,92335,92901,93462,94104,94692,95474,96243,97144,98168,98401,99194,99816,100694,101414,102347,103245,103959,104939,105773,106482,107259,108531,109124,109685,110499,111119,112043,112770,113702,114554,115503,116294,117393,118161,119067,120266,120937,122004,122761,123559,124698,125636,126574,127609,128475,129618,130566,131198,132069,132943,133913,134882,136046,137063,138420,139598,140740,141870,142901,143757,144717,145811,146839,147820,149199,150148,151888,153094,154468
"24","15","E1HOP1 B   Household operation","E1HOP10",18034,18155,18261,18365,18488,18638,18825,18989,19102,19186,19284,19443,19634,19825,19972,20113,20254,20296,20334,20382,20494,20633,20769,20809,20814,20830,20936,21091,21220,21180,21111,21038,21240,21486,21738,21924,22088,22228,22177,22101,22043,22171,22339,22511,22657,22764,22888,23122,23412,23673,23546,23322,23142,23337,23681,23987,23969,23859,23746,23845,23987,24162,24463,24782,25082,25170,25181,25225,25331,25521,25668,25638,25546,25484,25716,26017,26317,26498,26620,26754,26943,27201,27422,27312,27123,26970,27225,27575,27935,28145,28299,28446,28606,28804,28992,29147,29097,29123,29392,29801,30059,30077,29981,29980,30201,30529,30889,31240,31460,31261,31808,31698,31773,32090,32213,32588,32774,32883,33091,33406,33860,34226,34382,34279,34368,34553,35094,35374,35699,35977,36204,36499,36765,36899,36843,37224,37246,37433,37784,38185,38417,38687,38797,39235,39447,40050,40168,40252,40647,40801,41133,41309,41995,42398,42276,42733,42711,43109,44385,44679,44420,44984,45645,45820,46339,47101,47950,48239,47675,47866,48206,48468,49415,49960,49962,50668,51782,51709,51955,51518,52224,52065,53200,54500,55020,56062,56259,56779,57685,59243,57856,59085,58580,60257,62371,64500,63157,63749,64828,65320,66043,66278,65284,67637
"25","16","E1GEL1 B     Electricity and gas","E1GEL10",7487,7479,7462,7434,7416,7518,7646,7767,7819,7841,7872,7963,8076,8187,8241,8286,8323,8315,8299,8292,8369,8472,8564,8536,8465,8415,8584,8820,9037,8999,8889,8791,8840,8940,9041,9151,9247,9336,9329,9310,9298,9340,9398,9459,9535,9593,9665,9794,9960,10103,9937,9704,9502,9630,9854,10061,10037,9923,9826,9927,10096,10257,10295,10284,10282,10334,10416,10496,10552,10600,10641,10619,10583,10558,10671,10820,10959,10969,10944,10924,10952,11008,11061,11099,11115,11140,11261,11406,11543,11575,11580,11588,11632,11703,11764,11753,11702,11675,11867,12125,12358,12321,12203,12106,12243,12450,12655,12767,12878,12749,12945,12714,12653,12800,12855,13224,13349,13264,13341,13469,13732,13802,13819,13662,13564,13687,14063,14258,14401,14493,14667,14778,14956,14934,14824,15043,15042,15136,15363,15612,15800,15876,15691,15888,16034,16544,16641,16796,16840,16895,16938,16757,17245,17552,17217,17449,17288,17576,18283,18486,18500,18446,18708,18793,18872,19706,20210,20372,19682,19560,19616,19561,20271,20516,20385,20773,21629,21230,21335,20436,21110,20906,21703,22981,23402,24406,24551,24854,25531,26830,25413,26625,25856,27085,28837,30556,28709,28859,29638,29991,30499,30254,29018,30762
"26","17","E1HLU1 B     Other household operation","E1HLU10",10547,10676,10799,10931,11072,11120,11179,11222,11283,11345,11412,11480,11558,11638,11731,11827,11931,11981,12035,12090,12125,12161,12205,12273,12349,12415,12352,12271,12183,12181,12222,12247,12400,12546,12697,12773,12841,12892,12848,12791,12745,12831,12941,13052,13122,13171,13223,13328,13452,13570,13609,13618,13640,13707,13827,13926,13932,13936,13920,13918,13891,13905,14168,14498,14800,14836,14765,14729,14779,14921,15027,15019,14963,14926,15045,15197,15358,15529,15676,15830,15991,16193,16361,16213,16008,15830,15964,16169,16392,16570,16719,16858,16974,17101,17228,17394,17395,17448,17525,17676,17701,17756,17778,17874,17958,18079,18234,18473,18583,18513,18863,18984,19120,19290,19358,19364,19425,19619,19750,19937,20129,20424,20563,20617,20804,20866,21030,21116,21298,21484,21537,21722,21809,21965,22020,22181,22204,22297,22420,22573,22616,22811,23106,23347,23413,23506,23526,23456,23808,23907,24195,24552,24750,24846,25059,25284,25423,25533,26102,26193,25920,26538,26937,27027,27467,27394,27740,27867,27993,28306,28589,28907,29144,29444,29577,29896,30153,30480,30620,31082,31114,31159,31497,31519,31618,31656,31708,31925,32154,32413,32444,32460,32724,33172,33535,33944,34448,34890,35190,35329,35544,36024,36266,36875
"27","18","E1TOT1 B   Transportation","E1TOT10",9954,10075,10190,10309,10421,10547,10669,10799,10874,10934,11000,11043,11087,11122,11118,11113,11114,11128,11154,11180,11218,11251,11293,11320,11342,11368,11431,11514,11586,11620,11643,11678,11746,11818,11900,11961,12009,12055,12131,12218,12299,12324,12325,12333,12374,12427,12471,12528,12559,12607,12659,12721,12781,12839,12927,12994,13071,13135,13219,13303,13418,13500,13554,13584,13629,13692,13791,13877,13952,14025,14074,14131,14153,14198,14299,14422,14544,14662,14762,14873,14973,15075,15185,15236,15275,15328,15464,15645,15811,15860,15890,15932,16131,16379,16636,16779,16886,16977,17039,17123,17210,17338,17486,17625,17734,17834,17931,18092,18469,18605,18732,18885,19031,19177,19339,19471,19609,19792,20011,20190,20438,20617,20822,21053,21256,21519,21691,21891,22160,22478,22652,22874,23176,23239,23364,23267,23687,23906,24120,24350,24610,24582,24874,25219,25259,25495,25605,26150,26321,26815,27176,27431,27579,27798,28018,28174,28602,28790,28978,29123,29252,29414,29583,29749,30031,30107,30459,30532,30777,31065,31230,31353,31487,31628,31590,31776,31806,31936,32005,32001,32008,32471,32752,33167,33457,33963,34211,34649,35047,35370,35441,36284,36623,36529,36539,36246,37097,37456,37736,38369,38402,39070,39694,40558
"28","19","E1TMD1 B   Medical care","E1TMD10",15801,15912,16014,16126,16236,16338,16419,16511,16614,16733,16837,16928,17051,17171,17391,17610,17833,17773,17640,17545,17721,17970,18210,18270,18277,18293,18466,18681,18895,18975,19038,19096,19242,19392,19548,19760,19966,20178,20411,20638,20861,21096,21295,21518,21742,21939,22144,22282,22381,22484,22576,22683,22793,22912,23045,23166,23315,23473,23647,24025,24467,24857,25254,25622,25988,26332,26705,27062,27330,27585,27843,28066,28323,28546,28610,28684,28747,28645,28499,28358,28432,28500,28584,28872,29103,29371,29843,30334,30825,31348,31701,32126,32561,33053,33541,33780,33874,33953,34029,34168,34337,34519,34648,34803,35034,35210,35435,35947,36561,37167,38102,38733,39565,39949,40446,41166,41627,42246,42927,43277,43837,43979,44335,44752,45603,45848,45981,46306,46671,47236,47517,47927,48488,49823,49420,50136,50455,51149,51825,52317,53041,53769,54666,55269,55038,55506,56104,56571,57724,57998,58870,59468,60070,60418,61004,62315,62412,62914,63760,64224,64232,64865,66069,67100,67501,67897,68082,68410,69525,70436,71520,72120,72734,73399,73769,74216,74830,75300,75697,76148,77012,77985,78842,79450,80775,81933,82657,83525,84824,86086,86521,88540,89865,91395,91631,93301,94463,95047,95320,95510,97031,99516,100997,102587
"29","20","E1REC1 B   Recreation","E1REC10",6010,6066,6138,6191,6257,6347,6391,6456,6521,6599,6674,6707,6761,6798,6837,6875,6917,6915,6960,6979,7008,7049,7078,7124,7188,7233,7269,7315,7347,7391,7433,7473,7568,7663,7752,7760,7746,7736,7857,8024,8179,8127,8022,7932,7980,8067,8147,8218,8249,8285,8300,8309,8332,8514,8723,8929,8826,8653,8543,8676,8889,9110,9106,8999,8928,8944,9005,9087,9208,9314,9423,9469,9506,9537,9539,9544,9536,9549,9577,9604,9670,9744,9815,9862,9870,9908,10019,10157,10297,10383,10451,10536,10675,10829,10987,11036,11104,11148,11047,10907,10799,10997,11334,11623,11399,11032,10741,10924,11544,11838,11919,12052,12196,12754,12400,12577,13042,12895,13130,13268,13164,13419,13629,13707,13927,13789,13705,13747,13970,14099,14129,14183,14446,14992,14527,14882,14849,14999,15113,15224,15318,15339,15390,15690,15856,15763,15752,16043,16097,16260,16317,16335,16537,16999,16910,17114,17075,16989,17316,17341,17449,17407,17578,17761,17851,18079,18153,18339,18632,19066,19074,19116,19366,20173,19668,19814,20240,20260,20616,20754,20881,20989,21313,21594,22074,22194,22851,22998,23115,23550,23859,24741,24796,24781,24743,24587,24854,25151,25319,25572,25745,26249,26399,26433
"30","21","E1OSR1 B   Other","E1OSR10",28370,28574,28778,28965,29150,29323,29453,29606,29877,30170,30456,30596,30685,30807,31019,31251,31467,31463,31404,31377,31436,31567,31667,31802,31947,32108,32599,33130,33658,33661,33444,33318,33557,33898,34230,34323,34294,34282,34595,35021,35429,35403,35229,35093,35106,35211,35246,35110,34811,34613,35036,35612,36190,36663,36988,37374,37930,38591,39239,39308,39514,39485,39603,39776,39988,40230,40527,40792,40992,41201,41368,41618,41826,42078,42386,42708,43039,43616,44173,44745,45441,46107,46787,47242,47634,48039,48170,48277,48394,48349,48354,48310,48535,48765,49011,49480,49998,50478,51085,51643,52229,52864,53502,54134,54507,54853,55164,55294,55311,55058,55654,56689,56864,58500,58642,58316,58594,59072,59237,60015,59933,60638,60584,61106,62448,62706,62799,63590,64285,65105,65831,65889,66473,67057,67134,67471,68125,68833,69063,69666,70766,70484,70067,70852,71310,72395,72971,73351,73415,73575,73645,74568,74618,74975,75582,77737,78192,78903,79831,80338,80013,80619,81107,81696,81454,83407,84943,86002,84776,84663,84916,86212,86635,87931,88687,88377,90174,90354,91127,91499,91624,92241,93583,94743,96641,97232,97244,98239,99432,100082,101244,102585,103750,105741,105972,106180,108388,109554,111711,111182,111365,112954,113952,115422
"31",NA,"         Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","22","E1NRG1 B   Energy goods and services","E1NRG10",22550,22693,22686,22510,22786,23014,23015,23075,22880,23537,23856,23038,23264,23412,24435,24459,23933,24230,24081,24222,24526,24315,24576,24683,24451,24192,24202,24668,24672,24819,24701,24483,24631,24515,25013,24745,25134,25392,25690,25626,25541,25484,25380,25587,25916,26303,26533,26966,27321,27350,26846,26404,26678,26122,26416,27142,27122,26536,26496,27647,27298,27501,27569,27753,27509,28084,28170,28634,28622,29285,28343,28600,28433,29070,29344,29681,29799,30229,30552,30241,30489,31025,30972,30897,31156,30936,31226,31721,31993,32256,32306,32641,32900,33029,32855,33501,32984,33727,33029,33331,34640,34411,34477,33702,34167,34365,35355,35360,35655,35966,36031,35734,35524,35985,36237,36802,36859,36677,36850,37101,37499,37995,38796,38582,38680,38894,39052,39450,39550,40023,40260,40397,41139,40576,40746,41038,41221,41427,41854,41676,42421,42590,42464,43141,43801,43872,43893,44271,43967,44550,44005,44641,45710,45599,45760,45359,45492,45962,46890,46845,47092,46785,47595,48630,48871,50562,51635,52413,51763,52591,52306,52876,54184,53898,54308,55028,56416,57308,59654,57594,58566,60257,62849,65881,68166,69637,70930,70022,71323,73732,70629,74008,72123,72849,74120,77363,75495,76474,78575,80217,79916,80114,78572,81950
"33","23","E1XEF1 B   Personal consumption expenditures excluding food and energy","E1XEF10",204020,207467,211849,211528,213549,214478,214495,216640,220077,218058,218480,217539,219471,221828,224228,229113,223894,223930,224784,225917,227709,229333,227540,224849,224694,226427,229975,229360,232013,232757,233592,234298,236065,238482,241505,243426,244028,243787,246831,248733,251151,250082,251009,251624,255988,254284,258703,260701,260461,259685,261366,263111,263701,268114,269761,270396,271110,271277,274086,277916,279597,282596,282953,283927,288765,290351,293238,295264,293968,296395,294313,295836,300182,305566,308100,309756,309453,305894,309977,313277,321386,322978,324457,325073,328562,332343,336006,336556,333252,335216,338381,341854,346879,346986,347659,348409,350647,349548,352639,357596,357839,361478,361990,364454,369064,365666,369015,374330,379971,381473,389001,389581,394755,399127,404643,406884,408386,411287,414008,415254,420022,423935,423865,428003,432131,433034,433793,439033,442786,444960,445911,448127,449567,454763,451834,455243,459511,462666,464759,468226,471708,472296,469343,476095,487210,490140,493071,498015,499829,506689,506991,511678,519429,521155,525377,531139,536513,537519,546194,549063,552824,556075,562491,567220,570200,580388,584600,588688,596889,603830,610100,611415,614920,615944,619674,618964,630900,628178,632665,632234,637271,638535,646773,651843,660420,662456,668676,681441,679136,679462,676535,680711,693160,704814,703562,705125,725369,730327,739615,743981,751810,756104,769926,782459
"34",NA,"PCE by Major Type of Expenditure (From NIPA table 2.5.5):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","24","E1PCE1 A     Personal consumption expenditures","E1PCE10",306628,310089,313229,312700,316623,318678,318266,320639,324705,323273,323344,323359,324098,325836,330657,336998,330567,330632,331911,332169,333964,335978,335959,331910,332789,334336,338290,338272,340510,341511,341218,342731,345035,347166,350557,353090,353880,354682,358093,359743,362716,361122,362087,363611,369487,367288,372414,374322,375068,374031,375626,376969,377830,382309,385036,386918,386124,386659,390092,395364,397510,400914,402573,403595,409209,412140,415703,418536,417424,420418,417177,421815,425238,432188,434083,437849,438416,436038,441834,445182,452821,459301,459885,462517,466013,471088,475917,477851,474016,476461,481519,484122,490144,489277,491056,492871,495258,494025,496874,502386,503308,507876,507772,510892,516701,513294,518483,526208,531964,534665,545380,545095,550934,557434,564361,568242,569451,572915,578043,577893,584910,590176,590393,595414,601829,602435,604280,611525,614858,620167,622144,624437,630375,635677,633989,637714,644144,648020,650243,654688,660851,660100,658358,667430,677996,681256,683863,690624,693018,701672,700786,706832,714962,717847,723005,730524,733715,738386,751491,754889,760370,764025,772388,778864,783703,797546,803064,808770,819146,828503,835489,838454,844343,847081,856960,856143,872188,871163,879863,879655,887691,892907,904683,914068,925695,931281,941171,958046,958317,962501,959464,965124,978942,992808,994102,998755,1022794,1030743,1043833,1051045,1058909,1064834,1079737,1096041
"36","25","E1FTB1 C Food and tobacco","E1FTB10",85289,85132,87417,85954,86555,86950,86910,87598,88675,88581,87803,89500,88169,87498,88899,90297,89467,89279,89938,88998,88668,89220,90689,89278,90587,90762,91274,91491,91070,91120,90047,91018,91401,91250,91289,92199,92033,92730,92721,92628,93235,92775,92798,93557,94787,93991,94433,93936,94578,94367,94825,94874,94947,95668,96480,97040,95492,96400,96965,97328,98382,98698,99412,98898,99892,101043,101904,102315,102612,102485,102341,105227,104594,105491,104702,106756,107620,108231,109364,109571,108935,113247,112459,114655,114427,116070,117169,118345,117563,117609,119310,118041,118826,117835,119233,119631,120255,119364,119808,120019,119845,121085,120469,121699,122476,122458,123318,125601,125621,126266,129525,129098,130090,131673,132769,134087,133870,134653,136848,135165,136879,137741,137255,138477,140447,140059,141240,143104,142620,145327,146074,146099,149783,150732,151784,151778,153860,154569,154492,155814,157882,156515,157944,159635,158553,159007,158559,159595,160142,161428,161031,161821,161001,162313,163180,165659,163537,166946,170413,171144,172749,173504,174511,175056,176852,178908,179315,180046,182896,184478,185712,187084,188355,190442,196357,195661,198585,199370,201301,204002,206143,208409,209046,210288,210916,213092,215414,220559,221787,223601,226738,224883,227887,229263,230761,230535,236941,239046,241056,241992,242472,244327,247126,247934
"37","26","E1FXA1 C   Food excluding alcoholic beverages","E1FXA10",69667,69552,68372,68424,69741,70412,70020,70250,70943,70957,70400,71727,70705,70065,71300,72558,71973,71591,72100,71371,71044,71641,72895,71508,72770,72890,73323,73357,73062,73103,72238,73201,73526,73360,73051,73781,73451,74147,74276,74106,74597,74224,74306,74836,76006,75132,75399,75019,75638,75349,75677,75668,75631,76213,76859,77388,76043,76809,77444,77615,78410,78702,79793,79563,80533,81303,81861,82248,82305,82285,82029,84685,84018,84849,84147,85638,86252,86909,88265,88727,87862,92096,91143,93100,92797,94060,94993,95616,95086,95249,96943,95917,96459,95656,96543,96966,97607,96667,97118,97459,96989,98102,97629,98759,99352,99264,99899,102096,101688,102625,105091,104856,105290,107039,107905,109005,108466,109052,111231,109865,111057,111958,111729,112353,114448,113660,114488,115990,115746,118119,118703,118765,121913,122561,123412,122971,124816,125345,124724,125626,127369,126267,127176,129061,127357,127531,127063,128386,129207,129737,129519,130015,129263,130226,130869,132771,130685,133586,136233,136928,138562,139162,139977,140768,142222,143721,144122,145140,147259,148457,149703,150825,151436,153343,158598,158120,160562,161278,163116,164867,166860,168959,169651,170600,171510,173517,175084,179958,181050,182392,184968,182927,186129,187433,188716,188314,193577,195209,196667,198022,198066,199392,201835,202267
"38","27","E1ALC1 C   Alcoholic beverages","E1ALC10",10390,10377,10322,10238,10547,10773,10737,10674,10805,10721,10607,11055,10658,10531,10694,10868,10766,10881,10946,10659,10685,10689,10947,10870,10875,10826,10790,10887,10762,10832,10687,10749,10813,10809,10988,11138,11267,11356,11296,11278,11427,11331,11392,11563,11577,11570,11779,11637,11647,11647,11736,11786,11820,11861,12000,11992,11849,12037,12066,12186,12205,12115,12258,12351,12401,12402,12434,12390,12529,12454,12491,12694,12605,12703,12493,12774,12912,13006,13041,12937,13083,13202,13312,13447,13498,13749,13692,13958,13685,13740,13889,13710,13906,13606,13998,13995,14020,14083,14087,14000,13839,13885,13676,13977,14117,13998,14214,14423,14650,14601,15257,14924,15365,15283,15576,15551,15741,15900,15955,15672,16333,16288,16004,16476,16570,16847,16948,17052,16776,17065,17271,17149,17757,17777,17997,18463,18596,18582,18905,19160,19353,18947,19375,19132,19627,19713,19835,19952,20014,20697,20271,20499,20561,20867,20998,21254,21025,21318,22173,22052,21893,22003,22325,22247,22410,22876,22708,22529,23235,23626,23380,23338,23804,23896,24379,24032,24310,24399,24428,24959,24995,25157,25409,25744,25600,25670,26480,26624,26808,26915,27333,27478,27530,27712,27704,27953,28352,28733,28976,28826,29117,29225,29404,29365
"39","28","E1TOB1 C   Tobacco products","E1TOB10",5231,5202,8723,7292,6267,5764,6153,6674,6927,6903,6795,6717,6806,6902,6905,6871,6727,6807,6892,6968,6939,6889,6846,6900,6943,7046,7161,7247,7246,7185,7122,7068,7062,7081,7250,7281,7315,7226,7149,7244,7211,7220,7100,7158,7204,7289,7255,7281,7292,7370,7412,7420,7496,7594,7621,7660,7600,7554,7454,7527,7767,7881,7361,6984,6958,7338,7609,7677,7778,7747,7821,7847,7971,7939,8063,8344,8456,8316,8059,7907,7989,7949,8003,8108,8132,8261,8484,8771,8792,8620,8478,8414,8461,8573,8692,8670,8628,8614,8603,8560,9016,9097,9165,8964,9006,9195,9205,9083,9282,9039,9177,9318,9435,9351,9288,9531,9663,9702,9663,9627,9489,9495,9522,9648,9429,9552,9804,10062,10098,10143,10101,10185,10113,10394,10374,10344,10449,10642,10863,11028,11160,11301,11394,11442,11568,11763,11661,11256,10920,10995,11241,11307,11178,11220,11313,11634,11827,12042,12006,12164,12294,12339,12209,12041,12220,12312,12485,12377,12402,12395,12629,12921,13115,13203,13380,13509,13713,13693,13757,14175,14289,14294,13985,13944,13807,13904,13849,13977,13929,14294,14438,14478,14228,14118,14341,14267,15012,15104,15413,15144,15289,15711,15887,16302
